date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:43	500/500	---M--	200	added ('OK')	text/plain	etag:W/%221f4-ojyvvFhlJzkCyfYl1iGUOXl+5Vo%22	https://www.wigsbytiffani.com/robots.txt		(from )
23:13:44	1367438/1367438	---MCZ	200	added ('OK')	text/html	etag:W/%224c1136b83f88216b48c430d5c28dce91%22	https://www.wigsbytiffani.com/	/Users/barath/websites/Nifa/www.wigsbytiffani.com/index.html	(from )
23:13:47	1266747/1266747	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2017:43:45%20GMT	https://www.wigsbytiffani.com/cart	/Users/barath/websites/Nifa/www.wigsbytiffani.com/cart.html	(from https://www.wigsbytiffani.com/)
23:13:47	958546/958546	---MCZ	200	added ('OK')	text/html	etag:W/%22d317c8a60803f0ff60114c47e6314545%22	https://www.wigsbytiffani.com/wbt-team	/Users/barath/websites/Nifa/www.wigsbytiffani.com/wbt-team.html	(from https://www.wigsbytiffani.com/)
23:13:50	1449334/1449334	---MCZ	200	added ('OK')	text/html	etag:W/%22919f31c19b920832fbacdef4ca03631f%22	https://www.wigsbytiffani.com/shop	/Users/barath/websites/Nifa/www.wigsbytiffani.com/shop.html	(from https://www.wigsbytiffani.com/)
23:13:54	1981046/1981046	---MCZ	200	added ('OK')	text/html	etag:W/%22550dcb7f5c39b5394ad48c00f926b71f%22	https://www.wigsbytiffani.com/wigs	/Users/barath/websites/Nifa/www.wigsbytiffani.com/wigs.html	(from https://www.wigsbytiffani.com/)
23:13:55	1421062/1421062	---MCZ	200	added ('OK')	text/html	etag:W/%221896c71801af4e0a02871b6e250ae18e%22	https://www.wigsbytiffani.com/toppers	/Users/barath/websites/Nifa/www.wigsbytiffani.com/toppers.html	(from https://www.wigsbytiffani.com/)
23:13:57	1471475/1471475	---MCZ	200	added ('OK')	text/html	etag:W/%220bf145541df0de384a92c57914144517%22	https://www.wigsbytiffani.com/hair-care	/Users/barath/websites/Nifa/www.wigsbytiffani.com/hair-care.html	(from https://www.wigsbytiffani.com/)
23:13:59	1503457/1503457	---MCZ	200	added ('OK')	text/html	etag:W/%223e60d32130a62cddbb240cdf0ed71820%22	https://www.wigsbytiffani.com/accessories	/Users/barath/websites/Nifa/www.wigsbytiffani.com/accessories.html	(from https://www.wigsbytiffani.com/)
23:14:01	1730995/1730995	---MCZ	200	added ('OK')	text/html	etag:W/%22082a0dfdbdf4e15f7c22a5c2c2d37770%22	https://www.wigsbytiffani.com/tiffbrows	/Users/barath/websites/Nifa/www.wigsbytiffani.com/tiffbrows.html	(from https://www.wigsbytiffani.com/)
23:14:01	1310281/1310281	---MCZ	200	added ('OK')	text/html	etag:W/%2244fe15d46e283e2f586713db7add4f81%22	https://www.wigsbytiffani.com/services-1	/Users/barath/websites/Nifa/www.wigsbytiffani.com/services-1.html	(from https://www.wigsbytiffani.com/)
23:14:04	1148252/1148252	---MCZ	200	added ('OK')	text/html	etag:W/%22f8bb28fc7d937bf6591bcf1f39106ba7%22	https://www.wigsbytiffani.com/consultations	/Users/barath/websites/Nifa/www.wigsbytiffani.com/consultations.html	(from https://www.wigsbytiffani.com/)
23:14:05	901508/901508	---MCZ	200	added ('OK')	text/html	etag:W/%228a009e9abe76ee041ac9961e7ed3c693%22	https://www.wigsbytiffani.com/services	/Users/barath/websites/Nifa/www.wigsbytiffani.com/services.html	(from https://www.wigsbytiffani.com/)
